drug 1,drug 2,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,ECFP4
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,0.661753353,0.732851281,0.580773668,0.652841263,0.922275069,0.847958731,0.42452134,0.648006271,0.838514138,0.504323887,0.376793611,0.649201381,0.459104163,0.119458586,0.486749809,0.403203347,0.802764969,0.433178376,0.460233238,0.812996278,0.75929758,0.465462524,0.690426502,0.510551178,0.574953917,0.25
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,CC(C)(C)C(O)\C=C\C1=CC2=C(OCO2)C=C1,0.057701562,0.044179993,0.078974268,0.426259011,0.320944739,-0.029561906,0.216941498,0.176915341,0.525185736,0.125404287,0.122298207,0.187963621,0.379885373,-0.104957842,0.126087855,0.24227992,0.221568208,0.490174984,0.483794984,-0.060247043,0.586700399,0.159741906,0.272584712,0.257604796,-0.018867926,0.089552239
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,CC(C)C1=CC=CC(C(C)C)=C1O,0.281334731,0.174159993,-0.088423622,0.369666003,0.014103442,0.121820373,0.23905108,-0.170427418,0.395025445,0.41631507,-0.011983337,0.574144196,0.290158281,-0.003509147,0.056332939,0.72302859,0.409112443,0.200472668,0.425263151,0.600644445,0.463733888,0.012009722,0.358077128,0.143328926,0.796235367,0.075471698
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,CC(C)C1=CC=CC(C(C)C)=C1OCOP(O)(O)=O,-0.123628527,-0.043342534,-0.096682272,-0.025704365,-0.101300938,0.433838094,0.345465671,0.127939238,-0.026166417,0.41235996,0.202864827,-0.158224114,0.311096971,0.438228239,0.358766682,0.655185605,0.216047171,-0.092603239,0.013584115,-0.033257289,0.708263772,0.129899299,-0.085608926,0.114303542,0.082234519,0.09375
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,CC1=NN=C2CN=C(C3=C(SC(Br)=C3)N12)C1=CC=CC=C1Cl,0.36387324,0.748541477,0.442644742,0.110502897,0.63310115,0.511106669,0.463775878,0.159518155,0.094423146,0.021873798,0.424775074,0.50985296,-0.147203166,0.124500157,-0.206902289,0.450132117,0.356378034,0.27824074,0.426305441,0.641603858,0.839625792,0.582337338,0.60142394,0.473075325,0.609648717,0.220588235
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,0.71895365,0.696048048,0.753217637,0.589681666,0.685852949,0.515670894,0.066541749,0.477153836,0.272295717,0.335020844,0.504111088,0.458420137,0.092024323,-0.004979034,0.574865339,0.436451458,0.340612843,-0.149447041,0.358704064,0.541080855,0.82404208,0.577558032,0.749608374,0.219646349,0.559810792,0.191176471
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12,0.670141755,0.664583156,0.73320198,0.572390704,0.688797609,0.587173626,0.138219604,0.633136923,0.389599461,0.155929293,0.471021526,0.443458797,0.071530196,0.149130644,-0.098188828,0.237802422,0.343269064,-0.127695316,0.275569407,0.690749265,0.821571502,0.545419115,0.66918659,0.244811782,0.558576659,0.188405797
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,CC1COC2(N1CC(O)=NC1=C2C=C(Cl)C=C1)C1=CC=CC=C1Cl,0.200064959,0.304502062,0.125039486,0.460940828,0.643285569,0.481267521,0.340862797,0.51325655,0.154734397,0.409317597,0.386726479,0.292497918,0.205612055,0.313121737,0.193089031,0.663439167,0.350634913,-0.019038717,0.561134054,0.642764395,0.571335895,0.26978793,0.312718453,0.182330501,0.61595992,0.116883117
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,CCC(O)(\C=C\Cl)C#C,0.105782315,0.14449149,-0.14910917,0.139640229,-0.036715442,0.377837538,0.156368311,0.058448801,0.363222723,0.482659874,0.491134683,0.37911049,0.354415682,0.280351552,0.2050581,0.572593792,-0.005126101,0.109178783,0.278599853,0.264047656,0.486562394,0.292005241,0.399313704,0.165714542,0.64674355,0.016393443
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1.COC1=CC2=C(C=CN=C2C=C1)C(O)C1CC2CCN1CC2C=C,-0.12129726,-0.078837618,0.009608041,0.017891827,-0.118297022,-0.102351277,0.016853214,0.276871914,0.37912535,0.276506537,0.294972252,-0.002878662,0.106886344,-0.026619753,0.056027617,0.220900008,0.095646117,0.163259641,-0.160400844,0.280891042,0.00342338,-0.126918735,-0.265825538,-0.146681668,0.256645906,0.163265306
